


Date,Time,Session Title,Count,Speed,Unit,Pitch View,Pitch Zone,Pitch Type,Player Name,Sport,Activity,Video
8/2/2025,5:31:15 PM,,1,28,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:31:18 PM,,2,25,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:31:21 PM,,3,52,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:31:28 PM,,4,25,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:31:28 PM,,5,26,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:31:38 PM,,6,25,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:31:39 PM,,7,26,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:31:44 PM,,8,50,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:31:56 PM,,9,25,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:31:58 PM,,10,27,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:32:32 PM,,11,35,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:33:25 PM,,12,55,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:33:31 PM,,13,43,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:33:38 PM,,14,61,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:33:43 PM,,15,34,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:33:44 PM,,16,61,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:33:54 PM,,17,25,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:34:01 PM,,18,27,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:34:12 PM,,19,32,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:34:14 PM,,20,39,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:34:18 PM,,21,28,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:34:30 PM,,22,35,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:34:43 PM,,23,34,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:35:15 PM,,24,27,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:35:22 PM,,25,27,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:35:33 PM,,26,36,MPH,,,,Temp Temp,Football,In-game speed,NO
