0902 Jockey Club


Date,Time,Session Title,Count,Speed,Unit,Pitch View,Pitch Zone,Pitch Type,Player Name,Sport,Activity,Video
9/2/2025,3:39:02 PM,0902 Jockey Club,1,50,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:39:18 PM,0902 Jockey Club,2,43,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:39:22 PM,0902 Jockey Club,3,36,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:39:40 PM,0902 Jockey Club,4,25,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:39:47 PM,0902 Jockey Club,5,50,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:40:01 PM,0902 Jockey Club,6,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:40:10 PM,0902 Jockey Club,7,28,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:41:03 PM,0902 Jockey Club,8,31,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:41:14 PM,0902 Jockey Club,9,29,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:42:00 PM,0902 Jockey Club,10,47,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:42:39 PM,0902 Jockey Club,11,37,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:42:57 PM,0902 Jockey Club,12,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:45:39 PM,0902 Jockey Club,13,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:45:39 PM,0902 Jockey Club,14,28,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:45:42 PM,0902 Jockey Club,15,31,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:45:43 PM,0902 Jockey Club,16,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:45:45 PM,0902 Jockey Club,17,29,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:45:50 PM,0902 Jockey Club,18,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:45:54 PM,0902 Jockey Club,19,34,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:45:58 PM,0902 Jockey Club,20,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:46:01 PM,0902 Jockey Club,21,28,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:46:06 PM,0902 Jockey Club,22,29,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:46:11 PM,0902 Jockey Club,23,28,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:46:16 PM,0902 Jockey Club,24,30,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:46:21 PM,0902 Jockey Club,25,31,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:46:26 PM,0902 Jockey Club,26,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:46:28 PM,0902 Jockey Club,27,30,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:46:33 PM,0902 Jockey Club,28,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,3:46:43 PM,0902 Jockey Club,29,29,MPH,,,,Temp Temp,Football,In-game speed,NO
