

	
Date,Time,Session Title,Count,Speed,Unit,Pitch View,Pitch Zone,Pitch Type,Player Name,Sport,Activity,Video
8/2/2025,17:40:09,,1,26,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:40:20,,2,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:40:20,,3,40,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:40:24,,4,56,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:40:29,,5,33,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:40:30,,6,64,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:40:33,,7,30,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:40:35,,8,66,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:40:41,,9,62,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:40:51,,10,56,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:41:50,,11,30,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:44:25,,12,120,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:46:31,,13,130,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:46:34,,14,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:46:37,,15,95,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:46:38,,16,106,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:46:59,,17,130,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:47:03,,18,71,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:47:05,,19,130,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:47:23,,20,129,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:47:28,,21,47,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:47:28,,22,84,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:47:30,,23,130,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:54:25,,24,111,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:54:26,,25,112,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:55:38,,26,28,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:55:56,,27,28,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:56:05,,28,28,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:57:15,,29,83,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:58:49,,30,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,17:58:49,,31,27,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:00:00,,32,39,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:00:02,,33,42,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:02:40,,34,27,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:02:41,,35,38,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:02:48,,36,39,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:03:03,,37,28,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:05:32,,38,27,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:07:28,,39,25,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:08:03,,40,34,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
8/2/2025,18:08:56,,41,44,MPH,,,,Temp2 Temp2,Football,In-game speed,NO
